observer,trial,targLoc,distLoc,targDiscrim,thoughtNoAttCap,distracter,distLocRel
2,165,1,0,1,TRUE,0,0
2,166,3,2,1,TRUE,1,0
2,167,4,2,1,TRUE,1,5
2,168,1,0,1,TRUE,0,0
2,169,2,3,1,TRUE,1,2
2,170,1,0,1,TRUE,0,0
2,171,4,0,1,TRUE,0,0
2,172,3,2,NA,FALSE,1,0
2,173,6,0,1,TRUE,0,0
2,174,4,6,NA,FALSE,1,3
2,175,3,4,NA,FALSE,1,3
2,176,3,3,NA,FALSE,1,1
2,177,3,0,1,TRUE,0,0
2,178,2,0,1,TRUE,0,0
2,179,4,0,1,TRUE,0,0
2,180,1,1,NA,FALSE,1,1
2,181,3,3,1,TRUE,1,1
2,182,1,0,1,TRUE,0,0
2,183,6,0,1,TRUE,0,0
2,184,6,2,1,TRUE,1,3
2,185,4,2,1,TRUE,1,5
2,186,1,0,1,TRUE,0,0
2,187,6,0,1,TRUE,0,0
2,188,6,0,1,TRUE,0,0
2,189,2,1,NA,FALSE,1,0
2,190,4,0,1,TRUE,0,0
2,191,5,0,1,TRUE,0,0
2,192,2,0,1,TRUE,0,0
2,193,4,0,1,TRUE,0,0
2,194,6,6,1,TRUE,1,1
2,195,3,1,1,TRUE,1,5
2,196,6,5,1,TRUE,1,2
2,197,2,0,1,TRUE,0,0
2,198,6,0,1,TRUE,0,0
2,199,3,0,1,TRUE,0,0
2,200,4,1,1,TRUE,1,4
2,201,4,0,1,TRUE,0,0
2,202,5,1,1,TRUE,1,3
2,203,3,6,1,TRUE,1,4
2,204,5,0,1,TRUE,0,0
2,205,6,0,1,TRUE,0,0
2,206,4,5,1,TRUE,1,2
2,207,6,1,1,TRUE,1,2
2,208,2,4,1,TRUE,1,3
2,209,5,0,1,TRUE,0,0
2,210,3,6,NA,FALSE,1,4
2,211,4,0,1,TRUE,0,0
2,212,5,6,1,TRUE,1,2
2,213,2,0,1,TRUE,0,0
2,214,6,3,1,TRUE,1,4
2,215,6,0,1,TRUE,0,0
2,216,5,5,1,TRUE,1,2
