observer,trial,x,y,dur,onset,offset,n
1,134,952.6,798.4,612,346,1872636,3
1,135,974.3,523.9,1215,-1014,1877030,1
1,135,1083.7,313.1,100,238,1877167,2
1,135,1195.5,402,591,372,1877792,3
1,136,979.7,523.4,1204,-1007,1882010,1
1,136,1176.7,639.6,110,240,1882163,2
1,136,1198.1,657.7,567,364,1882744,3
1,137,979.2,523.3,1222,-1014,1886888,1
1,137,1198.2,626,150,247,1887077,2
1,137,1210.3,649.3,566,406,1887652,3
1,137,1063.7,723.1,13,1009,1887702,4
1,138,980.6,517.5,1204,-1013,1892705,1
1,138,1088.4,769.2,97,242,1892853,2
1,138,771,396,326,386,1893226,3
1,138,754.6,394.5,256,720,1893490,4
1,139,981.3,519.7,1192,-1014,1898376,1
1,139,1209.4,601.5,84,217,1898499,2
1,139,1199.7,647.4,632,316,1899146,3
1,140,963.5,527.1,84,-84,1902569,1
1,140,973.2,516,1116,10,1903695,2
1,140,1234.5,508.8,107,1165,1903841,3
1,140,1184.9,385.6,565,1302,1904436,4
1,141,977.8,516.9,1205,-1012,1908708,1
1,141,732.4,521.7,137,232,1908884,2
1,141,965.1,770.8,137,410,1909062,3
1,141,980.7,790.7,408,568,1909491,4
1,142,977.4,511,1256,-1013,1913809,1
1,142,965.4,292.9,107,279,1913952,2
1,142,969.3,271.3,554,406,1914526,3
1,143,973.1,527.6,1191,-1013,1918744,1
1,143,1068.7,311,87,216,1918869,2
1,143,1188.5,400.6,629,343,1919538,3
1,144,974,520.5,1208,-1013,1924311,1
1,144,740.5,409.8,731,234,1925081,2
1,145,958.6,554.1,1195,-1012,2020580,1
1,145,1135.2,633.6,104,216,2020717,2
1,145,1196.6,695.6,630,344,2021371,3
1,146,953.4,555.7,1225,-1021,2025914,1
1,146,729.3,674.6,703,244,2026657,2
1,147,958.2,550.7,1232,-1013,2032247,1
1,147,958.5,817.5,656,310,2032994,2
1,148,942.6,549,1235,-1013,2037883,1
1,148,947.6,305.7,750,263,2038674,2
1,149,944.9,550.5,1207,-1021,2043014,1
1,149,1169,687.5,767,224,2043819,2
1,150,936.7,555.9,40,-40,2046764,1
1,150,941.3,551.4,1149,8,2047921,2
1,150,1003.6,781.2,97,1195,2048056,3
1,150,944.5,809.3,626,1312,2048702,4
1,151,942.5,559.9,1195,-1007,2052634,1
1,151,1175.7,440.3,749,227,2053422,2
1,152,953,550.8,1190,-1010,2057410,1
1,152,1199.6,560.5,83,218,2057531,2
1,152,943.7,310.2,646,339,2058215,3
1,153,948.2,564.5,1201,-1013,2064135,1
1,153,1197.2,620,81,228,2064256,2
1,153,1183.7,690.4,597,330,2064874,3
1,154,953,544.1,1211,-1013,2068879,1
1,154,1062.3,753.9,58,237,2068976,2
1,154,697.9,657.3,139,348,2069168,3
1,155,938.7,557.1,1210,-1015,2075077,1
1,155,710.3,544.9,89,233,2075204,2
1,155,948,303.7,600,368,2075850,3
1,156,949.9,546.6,1181,-1014,2081616,1
1,156,914.8,313.5,89,210,2081748,2
1,156,1160.8,456.2,111,341,2081901,3
1,156,1170,439.5,498,472,2082419,4
1,157,957.1,551.1,1207,-1014,2087043,1
1,157,702.5,526.2,119,231,2087200,2
1,157,959.8,323.1,240,392,2087482,3
1,157,955.3,311.1,389,643,2087882,4
1,158,949.4,557.2,1207,-1013,2093410,1
1,158,931.5,310.6,746,237,2094199,2
1,159,950.1,551.5,1233,-1017,2098567,1
1,159,727.3,541.5,36,254,2098641,2
1,159,1181.6,685.5,144,343,2098838,3
1,159,1187.1,683.4,356,505,2099212,4
1,160,944.1,551,1195,-1013,2103833,1
1,160,727.4,429.9,704,223,2104578,2
1,161,941.5,563.5,203,-203,2107634,1
1,161,948.2,546.1,1001,12,2108647,2
1,161,998.6,401.2,77,1041,2108752,3
1,161,736.6,447.8,120,1159,2108913,4
1,161,734.9,435.3,486,1291,2109411,5
1,162,952,550.9,1220,-1020,2113436,1
1,162,717.4,647.7,179,239,2113654,2
1,162,728.8,676.4,426,426,2114088,3
1,163,944.3,550.8,1196,-1009,2118256,1
1,163,952.8,809.5,598,226,2118893,2
1,164,951.9,554.4,1192,-1010,2123535,1
1,165,959.7,555.8,239,-239,2127128,1
1,165,960.9,541.5,946,10,2128084,2
1,165,1147.9,405.2,122,992,2128242,3
1,165,1174.1,430.5,666,1134,2128928,4
1,166,952.7,554.5,532,-532,2131900,1
1,166,951.7,551.4,434,256,2132590,2
1,166,1082,347.8,711,730,2133341,3
1,167,940,551.3,1230,-1014,2137987,1
1,167,950.6,314.9,457,257,2138485,2
1,167,943.5,298.7,247,724,2138742,3
1,167,857.8,357.4,16,990,2138777,4
1,168,951.2,552.9,198,-198,2141996,1
1,168,956.6,540,1014,13,2143023,2
1,168,735,430.2,731,1069,2143796,3
1,169,957.8,549.8,1234,-1014,2148709,1
1,169,732.7,475.9,54,258,2148801,2
1,169,763.8,721.4,92,356,2148937,3
1,169,741.4,672.7,492,467,2149448,4
1,170,950.6,555.2,1242,-1013,2153585,1
1,170,941.1,337.3,101,266,2153723,2
1,170,947.8,316,622,385,2154363,3
1,171,948,557.8,234,-234,2157444,1
1,171,952.5,515.1,121,17,2157582,2
1,171,947.3,548.3,800,149,2158393,3
1,171,953.4,812.1,727,988,2159159,4
1,172,952.2,550.3,1200,-1014,2164177,1
1,172,1152.5,670.9,122,224,2164337,2
1,172,1191.4,681.5,603,366,2164960,3
1,173,955.1,552.2,1207,-1018,2169147,1
1,173,1159.2,422.4,143,225,2169326,2
1,173,1171.2,432.7,581,378,2169917,3
1,174,951.7,549.8,1194,-1014,2174272,1
1,174,731.2,419.5,591,222,2174905,2
1,175,959.6,551.2,1200,-1013,2179379,1
