observer,trial,x,y,dur,n
98,193,946.6,540.8,1202,1
98,193,720.5,683.2,324,2
98,194,950.1,545.8,1210,1
98,194,1130.5,490.1,22,2
98,194,967.4,343.7,86,3
98,194,926.5,299.9,116,4
98,194,954.4,288.6,390,5
98,195,953.4,545.3,1234,1
98,195,969.6,834,244,2
98,195,943.1,813.2,332,3
98,196,952,548.4,1230,1
98,196,790,581.7,124,2
98,196,754.6,428.3,536,3
98,197,951.8,542.5,258,1
98,197,949.8,548,88,2
98,197,949.7,557.3,686,3
98,197,1185,653.8,396,4
98,197,1187.5,676.3,232,5
98,198,957.9,534.6,332,1
98,198,945.8,540.3,856,2
98,198,957.8,797.8,282,3
98,199,951.4,538.5,1226,1
98,199,1180.4,420.2,444,2
98,200,947.9,542.8,1212,1
98,200,739.3,436.5,320,2
98,201,954.3,550.2,1198,1
98,201,1078.5,367.6,128,2
98,201,1186.9,424.2,1028,3
98,202,962.4,553.2,1218,1
98,202,1191.3,690.8,536,2
98,203,959.8,546,1196,1
98,203,731.9,427.4,390,2
98,204,955.2,544.2,1220,1
98,204,724.2,540.6,136,2
98,204,745,443.8,976,3
98,205,964.7,548.3,1184,1
98,205,971.1,806.4,350,2
98,205,1054.7,591.1,190,3
98,206,956.9,550.7,1212,1
98,206,788.5,688.4,126,2
98,206,737,681.3,574,3
98,207,957,551.9,1220,1
98,207,1205.3,473.2,564,2
98,207,1024.5,552.8,200,3
98,208,956,548.6,1186,1
98,208,716.7,612.7,118,2
98,208,722.3,664.4,424,3
98,209,957.1,549.4,1196,1
98,209,957.4,810.3,504,2
98,210,953.2,557.4,1188,1
98,210,965.4,813.7,428,2
98,210,1017,533.9,206,3
98,211,959,551.5,1218,1
98,211,761.3,637.9,120,2
98,212,954.3,550.7,1210,1
98,212,904.3,717.1,26,2
98,212,831.4,744.4,66,3
98,212,1190.9,681.8,746,4
98,213,955.2,551.2,494,1
98,213,940.7,543.6,240,2
98,213,947.8,547.1,422,3
98,213,1211.8,668.3,156,4
98,213,1183,679.6,220,5
98,214,957.7,557.6,306,1
98,214,954.8,559.8,700,2
98,214,829,768.5,34,3
98,214,959.9,801.1,500,4
98,215,959.8,544.7,290,1
98,215,950.2,545.5,934,2
98,215,731.4,677,398,3
98,216,951.6,548.6,1224,1
98,216,961,799.4,402,2
98,217,953.3,554.1,1210,1
98,217,1182.1,666.7,126,2
98,217,1188.7,705.2,588,3
98,218,954.8,553,1212,1
98,218,1117.6,736.1,80,2
98,218,1171.6,697.2,472,3
98,219,950.4,549,1228,1
98,219,1040.9,786.6,98,2
98,219,971.7,815.2,386,3
98,220,954,547.5,1218,1
98,220,727.2,521.7,128,2
98,220,989.7,315.1,310,3
98,220,962,304.1,192,4
98,221,956.4,545.8,304,1
98,221,938.9,547.3,220,2
98,221,956.1,544.8,690,3
98,221,731.6,444,550,4
98,222,953.7,550.6,1210,1
98,222,724.9,668,510,2
98,223,958,553.5,1256,1
98,223,964.8,831.3,316,2
98,223,1041.2,504.2,174,3
98,224,954.3,545.7,304,1
98,224,964.4,549.7,868,2
98,224,1201.8,691.4,300,3
98,224,1150.7,685.2,120,4
98,225,946.4,539.6,238,1
98,225,973.7,544,76,2
98,225,963.3,544.5,690,3
98,225,970.7,304.3,400,4
98,226,957.9,551.7,248,1
98,226,955.4,542.1,752,2
98,226,1164.6,705,176,3
98,226,1179.2,691.4,326,4
98,227,953.6,551.4,1194,1
98,227,1191.9,695.2,338,2
98,228,956.6,549.8,1254,1
98,228,1148,477.4,188,2
98,228,1177.9,467.5,476,3
98,229,955.1,556.2,1216,1
98,229,975.2,312.2,756,2
98,230,960.1,550.7,1184,1
98,230,1093.5,354.7,152,2
98,230,745,673.3,358,3
98,230,712.5,678.9,432,4
98,231,958.2,552.5,1204,1
98,231,1195.3,699,716,2
98,232,956.4,550.2,1206,1
98,232,988,823.3,216,2
98,232,962.2,819.4,406,3
98,233,954.2,556.4,1234,1
98,233,1138.5,738.9,78,2
98,233,1177.9,712.4,668,3
98,234,953,554.8,1204,1
98,234,1186,435.3,376,2
98,234,971.6,554.7,234,3
98,235,954.6,550.8,1238,1
98,235,975.9,328,324,2
98,236,952.8,552.7,1236,1
98,236,715.9,680.6,242,2
98,236,1040.7,512.9,192,3
98,237,951.6,557.9,1248,1
98,237,736.1,666.6,306,2
98,237,1049,538.7,218,3
98,238,956.8,551.5,1254,1
98,238,1180.7,701.2,530,2
98,239,952.3,545.7,1230,1
98,239,1191,435.9,496,2
98,240,953.3,549.2,1186,1
98,240,1098.1,797.1,190,2
98,240,733.5,681,576,3
98,241,952.4,544,334,1
98,241,957.2,550.6,844,2
98,241,1194.9,427.8,376,3
98,242,953.3,548,1192,1
98,242,728.8,438,366,2
98,242,1008,525.3,356,3
98,243,943.6,554.3,1188,1
98,243,1199.8,680.7,306,2
98,244,954,549.9,1198,1
98,244,1193.6,576.8,288,2
98,244,984.4,805.1,188,3
98,244,942.4,812.2,400,4
98,245,948.4,554.4,1204,1
98,245,954.1,823.4,396,2
98,245,1092.3,478.9,182,3
98,246,947.6,551,1196,1
98,246,1186.7,677.8,336,2
98,247,961.1,546.6,46,1
98,247,948.2,554.2,1142,2
98,247,1183.2,679.6,262,3
98,247,1034.6,574.3,176,4
98,248,962.8,532.6,78,1
98,248,956.2,548.3,1160,2
98,248,1183.9,671.1,376,3
98,249,951,547.9,1212,1
98,249,733.2,538.1,78,2
98,249,772.7,438.8,452,3
98,250,952.2,555,80,1
98,250,937.4,549.7,216,2
98,250,949.8,550.4,874,3
98,250,724.4,425.8,396,4
98,251,970.3,544.7,1202,1
98,251,977.2,797.9,644,2
98,252,970.6,552.6,1188,1
98,252,1071.6,763.1,108,2
98,252,949.4,767.1,86,3
98,253,966,543.8,1212,1
