observer,trial,x,y,dur,onset,n
1,192,1216.6,560.6,196,230,2
1,193,994.8,555.1,1426,0,1
1,193,999.6,749.1,144,184,2
1,194,988.3,545.5,1132,0,1
1,194,919.2,458.2,124,150,2
1,195,988.1,547.6,1334,0,1
1,195,1130.3,481,156,194,2
1,196,995.4,553.4,1378,0,1
1,197,993,538.9,1372,0,1
1,198,985.4,532.9,1240,0,1
1,199,982.5,549.2,1288,0,1
1,199,1188.2,644.3,172,208,2
1,200,989,546.5,820,0,1
1,200,985.2,528.9,392,582,2
1,202,978.8,536.6,1256,0,1
1,203,971.2,546.3,1268,0,1
1,203,965.7,347,168,208,2
1,204,979.4,535.4,1242,0,1
1,204,1172.2,460.4,202,240,2
1,205,978.6,547.3,1240,0,1
1,205,806,494.4,148,174,2
1,206,977.2,548.6,1260,0,1
1,206,1030.6,421.6,124,150,2
1,207,978.1,551.6,1326,0,1
1,208,982.2,543.1,208,0,1
1,208,989.1,534,966,1202,2
1,209,978.6,529.8,252,0,1
1,209,987.9,538.5,808,1014,2
1,209,806.4,453.8,152,1206,3
1,210,985.2,545.8,1152,0,1
1,211,972.3,549.3,276,0,1
1,211,973.8,547,788,982,2
1,211,981.4,362.5,160,1184,3
1,212,984.2,561,1242,0,1
1,212,811.3,491.9,142,176,2
1,213,983.7,542.2,1246,0,1
1,213,827.3,582.5,152,188,2
1,214,985.6,552.1,1304,0,1
1,214,989.8,728.1,188,226,2
1,215,988.4,552,244,0,1
1,215,979.7,553.5,828,1046,2
1,216,981.9,552.4,514,0,1
1,216,985.3,551.7,668,874,2
1,217,990,558.7,1356,0,1
1,218,978.5,550.8,1360,0,1
1,218,1179.6,641.6,190,224,2
1,219,984.6,554.6,1076,0,1
1,219,1164.9,641,214,246,2
1,220,986.7,553.8,344,0,1
1,220,981.3,556.5,886,1106,2
1,221,988.4,542.6,512,0,1
1,221,990.4,409.8,558,592,2
1,221,845.3,738.4,146,782,3
1,222,985,561.6,1352,0,1
1,222,1189.9,652.6,228,264,2
1,223,992.8,539.2,548,0,1
1,223,995.3,530.7,420,714,2
1,223,1111.2,688.7,132,882,3
1,223,1178,488,152,1072,4
1,224,986.2,542.9,1278,0,1
1,225,978.4,543.1,1264,0,1
1,225,1183.4,622.5,236,274,2
1,226,987.7,532.5,394,0,1
1,226,992.5,526.8,716,892,2
1,226,1000.5,729.4,236,1166,3
1,227,983.6,529.8,1282,0,1
1,227,986.6,718.2,178,212,2
1,228,977.1,547.7,378,0,1
1,228,976.1,552.2,494,722,2
1,228,880.6,709.3,224,982,3
1,228,988.1,336.4,186,1226,4
1,229,953.9,537.8,82,0,1
1,229,964.4,530.4,768,786,2
1,229,973,525.9,222,1196,3
1,229,1186.1,634.4,306,1538,4
1,230,979.8,491.1,28,0,1
1,230,967.7,534.9,1134,1140,2
1,230,1138.3,472,146,1324,3
1,231,965.1,530.4,1336,0,1
1,232,1225.6,551.8,368,0,1
1,232,1154.3,542.8,984,1000,2
1,232,974.4,337.9,192,1238,3
1,232,968.5,304.9,148,1398,4
1,232,734.5,519.2,262,1708,5
1,233,964.2,549.3,550,0,1
1,233,972.6,543.4,592,798,2
1,234,967.5,535.1,498,0,1
1,234,963.4,539.9,676,808,2
1,234,985.8,720,240,1084,3
1,235,972.8,538.5,598,0,1
1,235,976.4,524.9,24,34,2
1,235,971.5,546.1,600,834,3
1,236,969.7,536.1,528,0,1
1,236,971.2,440.3,156,178,2
1,236,956.4,317.4,502,704,3
1,236,1164.1,397.3,194,932,4
1,237,976.7,536.5,1240,0,1
1,237,779.9,618.9,172,208,2
1,238,972.7,545.3,216,0,1
1,238,984.5,476.9,32,270,2
1,238,973.5,532.4,828,1108,3
1,238,781.7,604.9,128,1278,4
1,239,967.4,548.8,520,0,1
1,239,972.3,544.9,586,772,2
1,240,971.4,541.9,1234,0,1
1,240,795.1,473.3,142,180,2
1,241,973.7,546.8,48,0,1
1,241,960,533.2,254,462,2
1,241,975,540,752,1222,3
1,241,1156.6,467.7,166,1426,4
1,242,966.9,548.2,1306,0,1
1,242,1162.3,463.9,208,246,2
1,243,977,542.9,110,0,1
1,243,981.1,538.9,1072,1314,2
1,243,993.3,772.1,212,1564,3
1,244,972,547.3,1322,0,1
1,244,784.4,456.2,168,198,2
1,245,972.7,551,1306,0,1
1,245,985.7,733.3,152,190,2
1,246,975.5,537.8,1200,0,1
1,247,981.1,542.6,636,0,1
1,247,972,509.7,700,718,2
1,248,961.6,547.9,350,0,1
1,248,950.3,535.4,254,434,2
1,248,966.1,531.1,252,882,3
1,248,787.3,595.1,188,1120,4
1,248,756.8,640.3,548,1688,5
1,249,979,544.3,344,0,1
1,249,986.6,537.9,814,1026,2
1,249,996.1,395.1,112,1176,3
1,250,980.8,537.4,1206,0,1
1,250,759.4,536.1,132,170,2
1,251,955.3,537.1,496,0,1
1,251,960.1,518.5,554,734,2
1,251,768.1,619.8,196,966,3
1,252,963.7,541.7,1290,0,1
1,252,961,375,136,178,2
1,253,963,535.8,564,0,1
1,253,965.5,345.7,610,652,2
1,253,760.2,368.5,152,842,3
1,254,960.9,540.6,1280,0,1
1,254,970,737.9,148,184,2
1,255,959.6,544.4,1242,0,1
1,255,1153.1,455,168,208,2
