"observer","trial","x","y","dur","onset","n","aoi","aoi2"
"5",18,182.3,-13.7,126,1210,5,"d1","centre"
"5",18,7.5,182.6,188,1436,6,"3","centre"
"5",18,-16,215.6,374,1824,7,"3","centre"
"5",19,27.2,12.6,310,0,1,"c","centre"
"5",19,6.70000000000005,162.2,262,286,2,"3","target"
"5",19,13.9,132.5,238,538,3,"0","blank"
"5",19,-12.5,138.5,360,908,4,"0","blank"
"5",20,7.5,88.2,380,0,1,"c","centre"
"5",20,18.7,141.1,208,314,2,"0","blank"
"5",20,13.5,89.5,504,836,3,"c","centre"
"5",20,175,94.9,254,1118,4,"2","target"
"5",20,21.6,-37.9,234,1394,5,"c","centre"
"5",20,-120.7,-208.4,170,1618,6,"d5","distracter"
"5",21,16.6,19.8,208,0,1,"c","centre"
"5",21,21.9,67.4,118,134,2,"c","centre"
"5",21,18,62.9,840,1064,3,"c","centre"
"5",21,210.4,-97.7,180,1278,4,"1","target"
"5",21,222.8,-129.6,372,1662,5,"1","target"
"5",21,116.8,-58.8,178,1864,6,"0","blank"
"5",22,32.3,7.29999999999995,726,0,1,"c","centre"
"5",22,44.7,17.4,494,508,2,"c","centre"
"5",22,-173.2,-76.2,300,846,3,"5","target"
"5",23,21.4,1.39999999999998,548,0,1,"c","centre"
"5",23,11.6,116,188,216,2,"0","blank"
"5",23,19.6,48.5,388,626,3,"c","centre"
"5",23,177.3,89.6,248,908,4,"2","target"
"5",23,190.8,101.8,130,1050,5,"2","target"
"5",24,29.4,-0.600000000000023,296,0,1,"c","centre"
"5",24,11.8,11,192,306,2,"c","centre"
"5",24,48.4,105.8,174,502,3,"0","blank"
"5",24,24.8,34.5,398,918,4,"c","centre"
"5",24,108.5,176.6,204,1154,5,"d2","distracter"
"5",24,195.7,117.1,438,1614,6,"2","target"
"5",25,18.7,-8.70000000000005,80,0,1,"c","centre"
"5",25,33.8,7,232,308,2,"c","centre"
"5",25,82,81.6,184,632,3,"0","blank"
"5",25,15,25.2,242,898,4,"c","centre"
"5",25,19.4,75.8,228,1142,5,"c","centre"
"5",25,178.4,-11.6,212,1388,6,"d1","distracter"
"5",26,4.89999999999998,3.29999999999995,292,0,1,"c","centre"
"5",26,30.1,-1.70000000000005,140,150,2,"c","centre"
"5",26,32.3,22.4,698,954,3,"c","centre"
"5",26,8,201.4,444,1428,4,"3","target"
"5",27,20.6,-6.39999999999998,56,0,1,"c","centre"
"5",27,18.2,21.6,278,288,2,"c","centre"
"5",27,3.70000000000005,177.1,214,534,3,"3","target"
"5",27,17.3,122.1,370,922,4,"0","blank"
"5",27,59.4,59.3,238,1176,5,"c","centre"
"5",28,23.4,5.70000000000005,44,0,1,"c","centre"
"5",28,17.7,17.1,198,324,2,"c","centre"
"5",28,5.20000000000005,137.4,184,640,3,"0","blank"
"5",28,26.7,54.7,242,900,4,"c","centre"
"5",28,3,17.5,254,1172,5,"c","centre"
"5",28,-55.4,167.3,180,1378,6,"d3","distracter"
"5",29,29.1,18.5,382,0,1,"c","centre"
"5",29,-0.100000000000023,181.4,204,232,2,"3","blank"
"5",29,29.6,147.7,204,452,3,"0","blank"
"5",29,97.9000000000001,3.20000000000005,316,792,4,"c","centre"
"5",29,-188.9,-83.8,440,1274,5,"5","target"
"5",30,25.3,-11.5,378,0,1,"c","centre"
"5",30,100.4,97.6,206,230,2,"0","blank"
"5",30,32.1,67.8,208,458,3,"c","centre"
"5",30,16.8,132.7,368,844,4,"0","blank"
"5",30,202.3,-133.8,320,1212,5,"1","target"
"5",31,24.2,12.4,336,0,1,"c","centre"
"5",31,157.2,89.5,190,218,2,"2","blank"
"5",31,-141.1,-62.5,220,478,3,"0","blank"
"5",31,7.79999999999995,47.1,224,736,4,"c","centre"
"5",31,74.0999999999999,109,164,922,5,"0","blank"
"5",31,-198,-18.9,148,1112,6,"d4","distracter"
"5",31,2.70000000000005,-266.3,206,1358,7,"6","target"
"5",31,-132.2,-62.6,166,1594,8,"0","blank"
"5",32,14.8,-10.7,274,0,1,"c","centre"
"5",32,26.8,-15.5,308,440,2,"c","centre"
"5",32,28.4,13.7,542,996,3,"c","centre"
"5",32,1.70000000000005,199.7,478,1504,4,"3","target"
"5",33,23.2,28.5,322,0,1,"c","centre"
"5",33,12.2,-15.4,88,100,2,"c","centre"
"5",33,15.2,30.2,664,892,3,"c","centre"
"5",33,-56.8,184.5,246,1162,4,"d3","distracter"
"5",34,29.3,15.9,286,0,1,"c","centre"
"5",34,25.8,31,132,238,2,"c","centre"
"5",34,22.8,174.4,182,454,3,"3","blank"
"5",34,18.9,122.1,228,700,4,"0","blank"
"5",34,101.5,35.3,186,910,5,"0","blank"
"5",34,227,-31.8,158,1094,6,"d1","distracter"
"5",34,-165.9,137.1,156,1298,7,"4","target"
"5",35,26.6,-3.79999999999995,236,0,1,"c","centre"
"5",35,12.8,112.3,174,198,2,"0","blank"
"5",35,36.1,54.2,74,288,3,"c","centre"
"5",35,33.1,62.8,276,672,4,"c","centre"
"5",35,20.4,30.8,416,1100,5,"c","centre"
"5",35,145.4,-23.5,136,1266,6,"0","blank"
"5",35,215.2,-127.7,260,1548,7,"1","target"
"5",36,29.4,11.1,308,0,1,"c","centre"
"5",36,28.3,7.29999999999995,490,502,2,"c","centre"
"5",36,83,47.5,354,878,3,"c","centre"
"5",36,-89.4,189.4,168,1076,4,"d3","distracter"
"5",36,-202.1,-83.4,220,1340,5,"5","target"
"5",37,7.79999999999995,5.60000000000002,284,0,1,"c","centre"
"5",37,40.5,23.8,596,736,2,"c","centre"
"5",37,53.6,50.5,228,984,3,"c","centre"
"5",37,-188.2,-62.1,136,1158,4,"5","target"
"5",37,-205.1,-84.8,306,1478,5,"5","target"
"5",38,13,-10.2,288,0,1,"c","centre"
"5",38,21.6,11.6,186,310,2,"c","centre"
"5",38,31.3,92.3,194,524,3,"c","centre"
"5",38,28.6,43.1,384,926,4,"c","centre"
"5",38,202,-133.6,486,1438,5,"1","target"
"5",38,-98.5,-117.2,236,1716,6,"0","blank"
"5",39,14.9,-5.39999999999998,252,0,1,"c","centre"
"5",39,18.2,-4.89999999999998,236,360,2,"c","centre"
"5",39,87.5999999999999,21.6,158,538,3,"c","centre"
"5",39,23.1,9.29999999999995,454,1010,4,"c","centre"
"5",40,25.5,-4.60000000000002,74,0,1,"c","centre"
"5",40,29,5,206,322,2,"c","centre"
"5",40,37.5,15.5,166,648,3,"c","centre"
"5",40,11.8,-5.39999999999998,544,1204,4,"c","centre"
"5",40,-5.39999999999998,172.6,170,1402,5,"3","target"
"5",40,-10,210.5,372,1786,6,"3","target"
"5",41,21.6,10.1,310,0,1,"c","centre"
"5",41,36.1,11.6,220,232,2,"c","centre"
"5",41,14.8,126.4,256,514,3,"0","blank"
"5",41,28.7,78.5,302,832,4,"c","centre"
"5",41,123.6,-258.1,196,1078,5,"d6","distracter"
"5",42,11.2,-1.20000000000005,328,0,1,"c","centre"
"5",42,32.4,33.5,296,420,2,"c","centre"
"5",42,66.2,30.4,434,868,3,"c","centre"
"5",42,202.8,-159.3,310,1210,4,"1","target"
"5",43,25.7,4.60000000000002,368,0,1,"c","centre"
"5",43,51.6,8.20000000000005,206,220,2,"c","centre"
"5",43,25.5,13.8,248,476,3,"c","centre"
"5",43,63.5,13,324,816,4,"c","centre"
"5",43,-164.2,135.4,176,1030,5,"4","target"
