"observer","trial","x","y","dur","n","aoi","aoi2"
"18",322,4.70000000000005,-2.20000000000005,707,2,"c","centre"
"18",323,13.7,7.70000000000005,1556,1,"c","centre"
"18",323,-155.8,-129.8,130,2,"5","target"
"18",323,-229.3,-143.9,1278,3,"5","target"
"18",324,1.79999999999995,-33,43,1,"c","centre"
"18",324,-1.60000000000002,-21.8,1027,2,"c","centre"
"18",324,-250.3,-11.4,179,3,"d4","distracter"
"18",324,-6.5,240.7,2108,4,"3","target"
"18",325,2.20000000000005,-24,1302,1,"c","centre"
"18",325,-127.5,197.8,255,2,"d3","distracter"
"18",325,-234.5,-136.7,276,3,"5","target"
"18",326,-4.39999999999998,-14.2,1464,1,"c","centre"
"18",327,5.60000000000002,-6.70000000000005,1325,1,"c","centre"
"18",327,-130.1,-73.6,127,2,"0","blank"
"18",328,7.60000000000002,-32.1,1435,1,"c","centre"
"18",329,-3,-11.5,1412,1,"c","centre"
"18",329,-2.20000000000005,215.6,142,2,"3","target"
"18",330,20,7,340,1,"c","centre"
"18",330,6.10000000000002,0.100000000000023,1154,2,"c","centre"
"18",331,-8.10000000000002,-25.6,1126,1,"c","centre"
"18",331,210.5,-40.8,199,2,"d1","distracter"
"18",332,8.70000000000005,-21.2,1316,1,"c","centre"
"18",332,-117.1,-269.2,452,2,"d5","distracter"
"18",333,6.60000000000002,-30.6,1481,1,"c","centre"
"18",333,-183,-172.2,114,2,"5","target"
"18",334,4.20000000000005,13.9,734,1,"c","centre"
"18",334,5.5,13.5,254,2,"c","centre"
"18",334,26.3,208.7,123,3,"3","target"
"18",335,23.4,-5.79999999999995,55,1,"c","centre"
"18",335,49.6,59.3,367,2,"c","centre"
"18",335,13,-11.8,493,3,"c","centre"
"18",335,-69.6,204.4,141,4,"d3","distracter"
"18",335,-109.7,222.4,134,5,"d3","distracter"
"18",336,6.60000000000002,-23.4,384,1,"c","centre"
"18",336,11,12.2,631,2,"c","centre"
"18",336,8.89999999999998,-289.2,303,3,"6","target"
"18",337,-3.10000000000002,-23.3,429,1,"c","centre"
"18",337,-2,-1.20000000000005,508,2,"c","centre"
"18",337,218.9,-8.5,169,3,"d1","distracter"
"18",337,262.4,-4.79999999999995,426,4,"d1","distracter"
"18",338,-19.8,45.8,482,1,"c","centre"
"18",338,15.9,12.4,847,2,"c","centre"
