"observer","trial","x","y","dur","onset","offset","n","aoi2","aoi"
"3",136,172.4,82.4,98,1236,6784135,3,"target","2"
"3",136,228.3,143.6,306,1357,6784464,4,"target","2"
"3",137,1,-7.5,1354,0,6792628,1,"centre","c"
"3",137,-212.6,86.4,109,1383,6792766,2,"target","4"
"3",137,-227.2,139.7,371,1510,6793155,3,"target","4"
"3",138,-1.70000000000005,-13.1,1311,0,6798885,1,"centre","c"
"3",138,-216.3,-144.6,190,1341,6799105,2,"target","5"
"3",138,-230,-128.3,593,1543,6799710,3,"target","5"
"3",139,-11.4,-6.60000000000002,1181,0,6805272,1,"centre","c"
"3",139,-169.6,-73.5,95,1208,6805394,2,"target","5"
"3",139,-222.2,-117.6,416,1323,6805830,3,"target","5"
"3",140,-12.5,71.7,154,0,6815148,1,"centre","c"
"3",140,-7.79999999999995,-5,1003,180,6816177,2,"centre","c"
"3",140,226.8,-20.7,119,1229,6816342,3,"distracter","d1"
"3",140,255.7,-12.3,121,1368,6816483,4,"distracter","d1"
"3",140,22.9,224.9,112,1537,6816643,5,"target","3"
"3",140,-2.60000000000002,267.5,358,1671,6817023,6,"target","3"
"3",141,-2.10000000000002,-11.8,1235,0,6822195,1,"centre","c"
"3",141,9.29999999999995,-165.1,82,1270,6822312,2,"target","6"
"3",141,-5.5,-232.6,383,1374,6822717,3,"target","6"
"3",142,-3.60000000000002,-8.70000000000005,1212,0,6828490,1,"centre","c"
"3",142,160,-112.2,83,1250,6828611,2,"target","1"
"3",142,220.4,-122.9,105,1358,6828741,3,"target","1"
"3",142,-118.3,-220.3,194,1495,6828967,4,"distracter","d5"
"3",142,-135.2,-219.6,57,1706,6829041,5,"distracter","d5"
"3",142,224.9,-122.5,362,1809,6829449,6,"target","1"
"3",143,-3.29999999999995,-10.7,1198,0,6835259,1,"centre","c"
"3",143,143.5,80.3,100,1227,6835388,2,"target","2"
"3",143,206.9,120.9,362,1348,6835771,3,"target","2"
"3",144,-11,-1.60000000000002,1193,0,6841105,1,"centre","c"
"3",144,-142.4,59.3,82,1222,6841216,2,"blank","0"
"3",144,-210.1,114.5,137,1328,6841377,3,"target","4"
"3",145,-3.29999999999995,-9.89999999999998,1190,0,6847590,1,"centre","c"
"3",145,61,146.3,98,1225,6847723,2,"blank","0"
"3",145,106,213.7,71,1348,6847819,3,"distracter","d2"
"3",145,-6.39999999999998,-314.6,92,1481,6847973,4,"target","6"
"3",145,-14.8,-242.4,487,1597,6848484,5,"target","6"
"3",146,-7.29999999999995,-14.2,446,0,6852326,1,"centre","c"
"3",146,-10.7,-18.6,658,583,6853121,2,"centre","c"
"3",146,182.9,-91,97,1273,6853250,3,"target","1"
"3",146,226.4,-120.7,391,1394,6853665,4,"target","1"
"3",147,-4.29999999999995,-8,386,0,6859614,1,"centre","c"
"3",147,152.7,-54.6,365,421,6860014,2,"blank","0"
"3",147,15.9,-4.89999999999998,238,810,6860276,3,"centre","c"
"3",147,-81,151.7,101,1080,6860409,4,"distracter","d3"
"3",147,-126,229.4,61,1206,6860495,5,"distracter","d3"
"3",147,18.7,-388.1,72,1335,6860635,6,"blank","0"
"3",147,-5.10000000000002,-254.5,387,1439,6861054,7,"target","6"
"3",148,-10.7,-4.89999999999998,1191,0,6866846,1,"centre","c"
"3",148,-217.6,-99.9,139,1219,6867013,2,"target","5"
"3",148,-234.7,-128.3,360,1370,6867385,3,"target","5"
"3",149,-7.60000000000002,-7.60000000000002,395,0,6871619,1,"centre","c"
"3",149,-7.5,-3.39999999999998,655,541,6872420,2,"centre","c"
"3",149,63.2,180.4,117,1232,6872573,3,"distracter","d2"
"3",149,98.8,237.9,54,1371,6872649,4,"distracter","d2"
"3",149,-1.29999999999995,262.5,399,1451,6873074,5,"target","3"
"3",150,-2.89999999999998,-6,1223,0,6877955,1,"centre","c"
